Seller,Product,Price,Quality,Likes,Comments
tonicboy,BN AV Cable,0.0,1,14,Others
andysky,Power Adaptor 8 USB Port,0.0,1,20,Preorder  ✨✨✨✨✨  Selling at $39  Registered mail add $3.20  🌟🌟🌟🌟🌟 Chat to buy!!
clearsound,Zu Audio Megular Component Video Cable,0.0,0,2,"Zu Audio 1.5m component video cable, in good condition to be given away free. Self collect. "
semplice,Baymax Room Light,0.0,1,25,Room accessories for decoration
shamurai.san,Sony Original Tablet Power Adaptor,0.0,0,1,Selling sony power adapter table working condition ..  My got crush as i seat onto my tablet so left with the adapter cable..   My was the pin is at the middle of the tablet..  Tablet yr ard 2012..
sgchroma,DDR3 Hot-rod Red EVO VELOCE DUAL CHANNEL PC3-12800 1600MHz C9 C10 & C11 EVO VELOCE DUAL CHANNEL,0.0,1,8,DDR3 Hot-rod Red EVO VELOCE DUAL CHANNEL PC3-12800 1600MHz C9 C10 & C11 EVO VELOCE DUAL CHANNEL  Item is brand new unused in sealed pack. Warranty from local distributor. Price is not negotiable and fixed. No meetup and No exchange of items. Only genuine sellers contact me. Visit my shop at 05-50 Si
mygame.pro,"(GTX 1080) Gundam Online Asia Edition 52 vs 52 PvP 免費 PC 遊戲 online. ""100% Gaming for Free Online"" (Massive 105 Player online) ""Start Gaming for Free Today""",0.0,1,5,"https://www.youtube.com/watch?v=lKbarh_Vnaw&t=41s https://www.youtube.com/watch?v=IRkNDdDhXvc&t=20s https://www.youtube.com/watch?v=BJRa4wzzx8c&t=39s     ""Char Aznable""  100% Authentic Guarantee with peace of Mind. Could had left it all for you for Tomorrow. But you ____________!!! https://www.youtu"
sdg.mobile,Remax Anti-Blue Ray Tempered Glass,0.0,1,12,✔️Instock ✔️100% Authentic Remax Anti-Blue Ray Tempered glass ✔️Available in 2 colours (White and Black) ✔️Suitable for IPhone 6/6+  Item description:  🔴Strong 🔴Full coverage  🔴Protect eyes from blue ray from phone  Price: 1 for $10            4 for $37   Quality assured!
dji_singapore,Antenna for FPV Racing,0.0,1,2,Others
samtan12,Any offer for this spoilt Satarii SW1721 Swivl Personal Cameraman,0.0,0,2,Any offer for this spoilt item?
rachaelsaywhat,Incase Slider Case iPhone 5,0.0,0,8,Incase slider case for iPhone 5   Matte Black  Metallic Pink   $20 each  Got them for more than $25 USD
miccheckonetwo,Lectrosonics Beltpack Transmitter,0.0,0,5,For Rental  *Comes with Countryman B3 Omnidirectional Lavelier Microphone  *$60 with UCR411a Receiver *Available is 3 different frequency blocks  Please call +65 98711990 or email us at rental@miccheckonetwo.asia for more information.
bleeding_heart_1984,LOOKING FOR HARMAN KARDON POWER CHARGER,0.0,0,5,Anyone selling or knows where to buy pls watsapp mi at 81627398
sirako,Cisco CVR-X2-SFP10G modules : 10 pieces avail brand new,0.0,1,1,Cisco CVR-X2-SFP10G modules Brand new  10 pieces avail
