Seller,Product,Price,Quality,Likes,Comments
miccheckonetwo,Lectrosonics Beltpack Transmitter,S$0,Used,5,For Rental  *Comes with Countryman B3 Omnidirectional Lavelier Microphone  *$60 with UCR411a Receiver *Available is 3 different frequency blocks  Please call +65 98711990 or email us at rental@miccheckonetwo.asia for more information.
pc_repair_sg,Computer Motherboard Repair,S$40,"WhatsApp Us: https://wa.me/6591253054
 
 How it works:
 1. There will be a $40 diagnostic charge, which includes a free pick-up from your home.
 2. Our diagnostics will uncover everything that needs to be fixed with your computer, and we will provide a no-obligation quotation for the repairs.
 3. If",1,Spotlight
maxim2006,TAMS GPIB Cable w/High Density Connector Cable for Embedded Controllers and PXIe System Modules,S$0,Used, ,"Model: 488-001-C GPIB to MicroD25, 5m long,  connect from a MicroD25 GPIB to a standard GPIB instrument. "
coolangels,Devil Hairband,S$0,,4,For party or wedding gate crash
playurconsoles,iPhone Screen,S$0,,15,"If you encounter screen cracked, no display, distorted screen, touchscreen not sensitive, internal display ink leak, lines. You require to have a screen replacement.  iPhone 4 screen $50 iPhone 4s screen $50 iPhone 5 screen $80 iPhone 5s screen $90 iPhone 5c screen $90 iPhone 6 screen $145(white lim"
5566goodluck,Mcdonald toys Mr Kiasu,S$0,,30,"One for the price of $15, take all 3 at $40"
daphne.tan.908,Tax services,S$500,"IMPORTANT TAX UPDATE: If you're a Sole Proprietor or Partnership, you'll need to pay annual taxes by 31 MAY 2020.  The good news? We're here to help, let us handle every detail for you, from start-to-finish. Our tax packages start from $500. Get started now  #taxfiling  #affordabletaxes  #accounting", ,Spotlight
le_bam_wain,WTB Functional Cracked Screen HP,S$0,,5,"Anyone with any functional cracked screen smartphone to let go rather than letting it becomes a white elephant, do pm me your price, brand and model number Example Price :$20 Brand :Samsung Model :S i9600 Thanks"
bleeding_heart_1984,LOOKING FOR HARMAN KARDON POWER CHARGER,S$0,Used,5,Anyone selling or knows where to buy pls watsapp mi at 81627398
sirako,Cisco CVR-X2-SFP10G modules : 10 pieces avail brand new,S$0,New,1,Cisco CVR-X2-SFP10G modules Brand new  10 pieces avail
bizgramsales,"UniFi AP,AC, In Wall, Pro",S$0,New,1,"Self Collect at Bizgram Asia Pte Ltd  1 Rochor Canal Road #05-50 Sim Lim Square, Singapore 188504  Condition: New  Specification: Dimensions: 139.7 x 86.7 x 25.75 mm (5.5 x 3.41 x 1.01"") Weight:  210 g (7.41 oz) Networking Interface: (5) 10/100/1000 Ethernet Ports Buttons: Reset Power Method: -802.3"
suicidalthoughts,English Cds,S$0,,14,Sahara hotnights
doctorbattery,Free onsite installation and brand new Exide Efb battery for most car with start stop function.,S$199.99,"For more details n information,  Call Cavin @ 94313593 Call/WhatsApp @ http://wa.me/6594313593 Book your service on our website: www.DrBattery.sg  Free delivery + On-site-installation + Disposal of old battery + Friendly Service All from just $75 - No hidden charges or fees.  What we need to fix you",14,Spotlight
tnyblck,iPhone Baymax Case,S$0,,4,Fits iPhone 6/6S
helluva8,🔴⚫️ 100% Authentic Centipede Pearls 招财蜈蚣灵珠 1 Red + 1 Black Geliga Lipan w/ Micron Gold Casing,S$230,"Price is for 1 set, choose ( A ) or ( B ) 1 set = 1 Red Pearl + 1 Black Pearl + 1 Casing + 1 Clip = $230 - Pearl size: Minimum 4.9mm  * 100% Authentic Centipede Pearls 🔴⚫️ * Facts are facts, simple as that. TEST and you will know... 真珠不怕红炉火！  - Fire Test Video: https://www.facebook.com/helluva8/vide",218,Spotlight
meganwong4,Wireless Keyboard And Mouse NEW black,S$14,New,5,"Complete set tested good workable condition, keyboard and mouse sensitive response with dongle attached. contactless collection in Punggol area  Lrt only or my block downstair what you see is what you will get"
homelyhome,High Duty RCA AV Cables,S$10,Used, ,"2m long very good condition  for connecting DVD players, TVs, and other AV equipment"
custombpa,3d printer cleaning filament ESUN,S$28,New,4,"ESUN cleaning filament( 100 grams ) , it has a wide temperature range 160°~300°.  This helps to purge out previous filaments and carbon blockages, recommended to use when changing of colors or material type.  This helps maintain your nozzle helping it last longer."
+wen+yseven,"CHOETECH Wireless Car Charger, 10W Max Qi Wireless Fast Charger Car Mount USB-C Phone Holder",S$20,New, ,"❗️Only 1 Set. ❗️No Car Charger Adapter  Brand new set with box. CHOETECH Wireless Car Charger, 10W Max Qi Wireless Fast Charger Car Mount USB-C Phone Holder with 36W Dual Car Charger Compatible iPhone SE, iPhone 11/Pro/Max/XS/Max, Galaxy S20/S20+/Note 10/S10. Selling Cheap. Kinldy check the link bel"
u2spraypainting0643,Spray painting service,S$500,Car spray external same color....  Hari Raya promo...  only $500... more details please whatsapp and call...  86186474.....ah huat.... thanks...,18,Spotlight
lalolili,Eceen,S$20,New, ,price negotiable 
syaffceps_,Viugreum Flood Light,S$30,New,1,"Viugreum 100W LED Flood Light Outdoor, Thinner and Lighter Design, Waterproof IP65, 10000LM Daylight White (6000-6500K), Super Bright Security Lights, for Garden, Yard, Warehouse, Square, Billboard"
dogmababy,"100 LED OUTDOOR FAIRY LIGHTS, 4 models timer programs, 8 mood light functions, 10m warm white",S$12,New,1,Clearance sale  Water proof decorative string lights  11M 100 LED Fairy Lights: A ++ Energy Efficiency LEDs. Continuous lighting of the chain can be maintained for over 100 hours. No longer needing an extension cord or external power supply. Need to buy 3 extra AA batteries. 4 modes of the timer pro
eunnnnn,wireless smart battery camera,S$38,"brand new ( HD video lens , 4x rechargeable batteries , two-way audio , PIR motion detection , night vision ) ", ,New Carouseller
omgsosexy,Elfeland LED Strip Lights 32.8FT/10M 300 LEDs IP65 5050 RGB Light Strips Music Sync Color Changing Rope Lights Flexible Tape Light Kit with APP Controller for Bedroom Home Kitchen,S$40,New,8,"📱【APP Control & Mic Mode】Control the LED strip lights via APP, remote control and controller.The bluetooth strip light has a special music mode,built-in sensitivity adjustable microphone,create romance, relaxation, party ambiance with Music and Mic function,lights color will change with the music be"
nubi8,Bose,S$300,Used, ,Audio
enchanteco,"ETERNAL Rose that Lasts 🥰 Everlasting gift for Special Event, Proposal, Birthday, Mother’s Day🌹 HANDCRAFTED PREMIUM QUALITY Rose Bear 🎁 LED Lights • Flower Bouquet 💐",S$88,"Everlasting Rose Teddy🌹💫  For Birthday, Proposal, Anniversary, Dinner Date 💍🧸✨  Spoil your loved ones in the special events like proposal, birthday, anniversary, graduation, or simply dinner date with our signature Mon Chéri rose teddy. 🐻🌹   ✨ What is Rose Teddy? Rose Teddy is a teddy shaped bear th",136,Spotlight
platypuso,Lenovo laptop charger,S$12,Used, ,Computer Parts & Accessories
janlsl,MAGIC EAGLE GAMING KEYBOARD AND MOUSE COMBO SET RAINBOW BACKLIT,S$35,New,2,Brand New in box
realvaluedealssg,Digital Alarm Clock with LED backlit (BNIB),S$7.89,New,5,✓ Buy 2 for $15 ✓ Brand New - Neatly packed in a box  ✓ Attractive White Color  - LED display ✓ Check all photos for product description ✓ Batteries not included in Package  Self collect @ Punggol  (collect from a distance - strict CB measures apply)  #digital #alarmclock #alarm #LED  #compact #whit
re3electronics,"Thinlerain 15.6"" Portable Monitor",S$80,New,7,"Please note that the item is returned product from Amazon, hence the packaging is not brand new. However item is in an unused condition or tested for functionality. Not for fussy buyer.
 
 Strictly no meet-up during CB. Buyer to arrange own courier service for contactless pickup.
 
 Portable Monitor"
jerry.singh1,"Mouth Guard, Mouth Shield, Spit Guard transparent reusuable",S$0.80,1 box 10pc = $8 1 carton 200pcs - $152/free delivery 84552628,6,Spotlight
whimsicalfairy,LG Smart TV Camera AN-VC500,S$20,New,3,brand new in box.  specs deets here: https://www.lg.com/us/tv-audio-video-accessories/lg-AN-VC500-video-call-camera-for-lg-smart-tvs  PM for details.
caroupart,2.5”/3.5 “Dual SATA HDD Docking Station Clone& Erase,S$20,Use  one time only for data recovery  Including: Charger x1 Docking station x1 User manual x1 Package box x1    ,11,New Carouseller
thorfin68,Wireless Keyboard,S$25,New, ,package content 1x Bluetooth keyboard 1x USB charging cable 1x user manual
javier_lim_bao_yi_98481834,Intel E8400 Delivery,S$15,Used,1,Desktops
nameah,USB HUB,S$5,Used, ,USB HUB. 4 USB 2.0
reithmace,Leather multiple card holder,S$15,"Fantastic card holder! Display up to 4 cards.Great for high security work places with lots of security clearances.E.G Airport terminals , cargo complexes , C.S.F areas and even banking offices.",52,Spotlight
preorderkj,JBL Reflect Aware Noise cancelling Earphones Lightning,S$99,New,3,JBL Reflect Aware Noise cancelling Earphones Lightning ($289.00)  NOW: $99.00 with FREE DELIVERY  (Limited Time ONLY)   PLS allow 5 working days to receive!!
komalsg,Canon Laser Printer MF,S$150,Used,10,"Pick up 5 Delta Avenue (River Valley) As good as new.  4 months old printer. Retails at 350 SGD Model MF246DN Print, scan, copy, and fax. Double sided printing  Laser printer Touch screen display.  https://www.lazada.sg/products/canon-imageclass-mf246dn-mono-laser-aio-fax-i282465767-s448057047.html?"
gudealz,"Bedside Table Lamp,TECKIN Minimalist Linen Bedroom Light, LED Modern Nightstand Desk Lamp with Fabric Shade for Bedroom, Living Room, Office (E27 LED Bulb Included) [Energy Class A]",S$25,"❤ Minimalist design:The elegant sleek look of this bedroom light elevates the aesthetic of your home, an open-top cloth shade of beige linen hovers over a petite black base of solid wood. The size and the design make this accent lamp a splendid accoutrement for guest cottages and professional office",21,New Carouseller
hdb.upgrader,Looking for hdb or condo? How to spot the different for your advantage?,"S$358,000",990 sqft,1,Spotlight
komalsg,Canon Laser Printer MF,S$150,Used,10,"Pick up 5 Delta Avenue (River Valley) As good as new.  4 months old printer. Retails at 350 SGD Model MF246DN Print, scan, copy, and fax. Double sided printing  Laser printer Touch screen display.  https://www.lazada.sg/products/canon-imageclass-mf246dn-mono-laser-aio-fax-i282465767-s448057047.html?"
rocketeerhero,iBlockCube® Universal Power Strips 3 Way Outlets 6 (3.1A) USB Ports w/Surge Protection Socket Switch Portable Charger 2M/6.5FT UK Plug Wall Adapter Cord w/Fuse & Shutter Extension Lead (Black-Grey),S$40,New,2,"Note** it's a EU plug. but not confirmed, as it's sealed, refer last pic  iBlockCube® Universal Power Strips 3 Way Outlets 6 (3.1A) USB Ports w/Surge Protection Socket Switch Portable Charger 2M/6.5FT UK Plug Wall Adapter Cord w/Fuse & Shutter Extension Lead (Black-Grey)  2 Meters UK Outlets Power S"
chubbychipmunk,LG Smart TV camera,S$12,Used,23,LG SMART TV camera AN-VC500 With box. Cash when pickup
mrit.com.sg,256GB SanDisk Ultra microSDXC UHS -I Card 100MB/s,S$53,New,3,"SanDisk Ultra microSDXC UHS -I Card 100MB/s 256GB  Brand New Add $4.50 for delivery (can bundle multiple items for 1 shipping cost)  Like what you see, check out all our IT Accessories and Gadgets at https://sg.carousell.com/mrit.com.sg.  Do check back again, we will be adding more products soon.   "
joycelynwong,Uptown @ Farrer MRT,"S$1,009,300",527 sqft,12,Spotlight
ando,ASUS P8Z77-M PRO Motherboard Intel z77 Socket LGA 1155 DDR3,S$80,Used,2,"Used ASUS P8Z77-M PRO Motherboard Intel z77 Socket LGA 1155 DDR3  Should have an Intel I5 CPU inside, unfortunately totally forgot what's the model. (take it comes as free, including the CPU Fan)  Refer to the specification link below; https://www.asus.com/sg/Motherboards/P8Z77M_PRO/specifications/ "
dipakdn900600,Washing Machine,S$100,Used,5,"Good condition, can check before buying."
techcove,Fitbit Inspire HR Black,S$109,New,13,"Fitbit Inspire HR
 
 ** Box a little dented, please see pictures **
 
 🌟 Brand New and Factory Sealed
 🌟 Set from USA
 🌟 30 day Seller's Warranty
 🚚 FREE Doorstep Delivery with tracking by Qxpress (2-3 working days) 
 
 Whats in the Package? 
 🔺 Fitbit Inspire HR
 🔺 Classic wristbands (both small & "
sivanes82,Gigue earpods,S$30,"gigue earpods brand new  Wireless Earbuds, Gigue Bluetooth 5.0 Earbuds Headphones, True Wireless Stereo Earphones with 30Hrs Playback, Hi-Fi Sound Bluetooth Headset with Charging Case One-Step Pairing Noise Cancelling", ,New Carouseller
deanzz,SAMSUNG ULTRA WQHD MONITOR,S$500,New,3,want to clear shift house
endigoro,JBL charge 3 bluetooth speaker,S$150,Used,11,Only used for few days but like my harman kardon speaker more so selling this.
pc_repair_sg,Computer Motherboard Repair,S$40,"WhatsApp Us: https://wa.me/6591253054
 
 How it works:
 1. There will be a $40 diagnostic charge, which includes a free pick-up from your home.
 2. Our diagnostics will uncover everything that needs to be fixed with your computer, and we will provide a no-obligation quotation for the repairs.
 3. If",1,Spotlight
reydonsilvers,18650 Charger,S$5,New,4,"18650 battery charger. came with item i bought but i have my own charger.  **Due to the recent movement restrictions, will not be doing any meet ups at the moment. You may still put up offers so that I will be able to reserve the item for you if you are interested. Will be only able to arrange for m"
thethriftfactory,Besta CD-168S CD 168S computerized electronic dictionary edictionary,S$150,New, ,"Only used once, given to me as a gift, guaranteed as good as brand new, no scratches, no defects, etc Multi purpose ✔ Many dictionaries within one dictionary, oxford dictionary, extensive dictionary, etc ✔ Chinese to english word/phrases/sentences conversion, as well as english to chinese ✔ Sentence"
borneorockstar,Ipad tablet stand,S$26,New, ,"Brand new in stock (singapore)  🎁 fit on 4-14” smartphone/tablet 🎁 charging port access 🎁 sturdy / heavy base to ensure no wobble 🎁 height/angle adjustable 🎁 360 degree rotation  See video here 👇  https://www.instagram.com/s5.tech/  Tagging Ipad stand, tablet stand, ergonomics, ipad holder, ipadstan"
j.builds,Zotac GTX1080 mini,S$360,Used,126,"Used Zotac GTX 1080  In good working condition   Pm me for more info, thanks!"
pc_repair_sg,PC Computer Repair Service,S$40,"WhatsApp Us: https://wa.me/6591253054
 
 How it works:
 
 1. There will be a $40 diagnostic charge, which includes a free pick-up from your home.
 2. Our diagnostics will uncover everything that needs to be fixed with your computer, and we will provide a no-obligation quotation for the repairs.
 3. ",1,Spotlight
digikidsg,Jelly Comb 2.4GHz Ultra Slim Full Size Rechargeable Wireless Keyboard,S$18,New,4,"Brand new in 📦  Retail Price: $69  Description: The ultra-slim Jelly Comb Wireless Keyboard is perfect for home office or workplace. Using advanced wireless 2.4GHz connectivity technology, you can easily connect the keyboard to your computer or laptop by plugging the nano-receiver into the USB port,"
rockstar_2020,Asus NoteBook,"S$1,000",Laptops,8,New Carouseller
everythingmen,Apple Watch series 5,S$500,Used,8,Apple Watch series 5. 40mm GPS only. Bought for $600. Used for around 2 months. Perfect condition other than a small scratch on the side. Box included 
sellverything888,Last 1 brand new $3 paynow on the spot via free MAILING,S$5,New, ,Last 1  NO SELF COLLECT NO MEET UP brand new white  Brand new in packagings Quick deal paynow on the spot free mailing $3 Come with black hooks  No trade  No Nego No self Collect  No meet up No extra photo  Free postage & mailed only   Registered Mail Additional $3.50 Price inclusive of singpost nor
ando,Sapphire RADEON HD 7750 - 1GB,S$30,Used,2,Sapphire RADEON HD 7750 - 1GB Working condition. Give you 3 day warrenty.  Refer for the specification https://www.cnet.com/products/sapphire-radeon-hd-7750-graphics-card-radeon-hd-7750-1-gb-112020020g/    
isellcarshades,Premium Lumbar Spine Back Cushion Support,S$20,Comes in Blue/Brown/Pink  Do not simply buy from online! We have ready stocks and samples for you to try it in our store! ✅  Feel the difference with our premium lumbar spine back cushion! 💥   Can be used for Car Seats or Office chairs for pro long seating hours! Satisfaction guaranteed! 💥,105,Spotlight
frivoleaz,JBL Free X True Wireless earbuds,S$95,New, ,Used once lightly as my bf gifted to me a new pair of bluetooth earphones right after i bought this. Condition: 10/10 Comes with warranty!!!! Bought this month only  - Truly wireless - JBL Signature Sound - 24 hours of combined playback - Smart charging case - Handsfree calls - Call mode - Easy cont
sinsengcomponents,Hikvision 2MP Network PoE IP Camera with Built-In-Micro SD Card Slot CCTV Camera with 2.8mm Wide Angle Fixed Lens [Order Model•DS-2CD2121G0-I/2.8],S$39,New,8,"About Us Established since 1971, Sinseng Components Pte Ltd is  Importer/Exporter/Distributor/Wholesaler of Security Surveillance CCTV Camera/Wireless IP Camera/Solar IP Camera System: Our Wide-Range of Brands & Products includes: •House Brand 7-STAR* Distributor: •Authorised VSTARCAM Distributor: •"
micacjd,Monitor arm - humanscale,S$50,"Heavy duty monitor arm of humanscale. Swivel the arm freely and save space when you have small desk or dual monitors. Quantity available is 2. Selling at $50 each, $100 for 2. ", ,New Carouseller
mariamariana.jamil,Top achievements awards. Speak with me to get help in your property needs!,"S$388,888",888 sqft,21,Spotlight
marktansg,Phillip's Ultra 4K Android Media Box Player,S$50,New, ,Selling off individual set at $50. Bundle with air mouse at $60.  Air mouse itself at $15.
zenmatcha,Asus RT-AC5300 Gaming Router,S$260,Used,8,"Working well, no warranty, no box"
eunnnnn,wireless smart battery camera,S$38,New, ,"brand new ( HD video lens , 4x rechargeable batteries , two-way audio , PIR motion detection , night vision ) "
vincentkevinee,Tube pre amp,S$250,Used,31,"item sold as it is ( unable to test as I dom""t have power amp)"
mk.enterprise,Purple Guard Tyre Shine,S$13,BETTER THAN MEGUIARS TYRE SHINE!!  PURPLE GUARD TYRE SHINE  🔰 400ml 🔰 Tyre shine lasts up to 7 Days! 🔰 Product is only suitable for exterior use 🔰 Can be used for Car/Motorbikes/E-Bikes Tyres 🔰 Can even apply on Mudguards or exterior of Bikes 🔰 Dun need to wash. Can apply right away! 🔰 Instant resul,132,Spotlight
lalolili,AC air pump,S$30,New, ,price negotiable 
uslife,"[Original]Sony Wireless Bluetooth in Ear Headphones: Noise Cancelling Sports  - Cordless, Sweatproof Sport Earphones, Built-in Microphone, Extra BASS – Blue / Black WF-SP700N/L",S$135,New,25,Original Sony. come with all accessories. New but no box.
lee666,Sony WF-1000XM3 Bought from Challenger last year september,S$180,Used,16,"Seldom use, in good condition 9/10, any negotiation please pm me."
selinca,Hair dryer,S$20,New hair dryer , ,New Carouseller
ss1417,Lenovo T440p  i5,S$250,Used,22,"Lenovo T440p Core i5 - 4th Gen 8 GB RAM 500 GB HDD, DVD Drive Battry in good Condition light weight and durable Comes with Adapter Windows 10 Pro and MS Office 2019 Pro"
madcow_gov_reg_t05ll0790c,"NZXT H1 Mini ITX MATTE BLACK edition...(1Y), or Walk in for Offer rate...""ask"". Want Offer price..!! Pls walk in direct. 100% New ""Wholesales/Retailer"". (Offer Till xxxx ) Tag Razer Z390 B450M B450 X570 ASUS Fiddo G29 CAR MSI 3950X RTX 2080 Ti 3900X ,",S$527,New,5,"https://www.youtube.com/watch?v=dzHtWZ-_KYU&feature=youtu.be&fbclid=IwAR3X0IhjDPef53nVJSwnvXct3X7PCtNxgIhUHUpFVia3V8Fx0cuVEiWwIYY (Smallest Case) Need Mac or PC, Laptop Repair...!!!  Bring to 39A Jalan pemimpin,halcyon bldg #07-07 577183 Tonite, https://www.youtube.com/watch?v=w-XvV4_2AXo (Insist on"
sgballoons.singapore,❤️❤️DISCOUNTED CUSTOMISED BALLOONS❤️❤️,S$35,Lowest price guaranteed.  If you can find any thing cheaper elsewhere we will give you additional 10% discount on the total amount ❤️   24inch Custermized balloons available!   ❤Transparent custermized deco balloons - $35 ❤Confetti custermized deco balloons - $38 ❤Mini balloons filled custermized de,1,Spotlight
simonvandijk,Partington Speaker stands,S$90,Used, ,Selling a pair of nice solid and heavy metal stand Height 24” TOP plate 17x17cm Bottom plate 25x24cm no spikes as stand already heavy  also selling speakers if interested...
tchuanhock8,USB A/B Digital Audio DAC Interconnect Cable,S$39,New,5,USB A/B Digital Audio DAC Interconnect Streaming Cable  Hand Audio local hand crafted design with Europe ultra high purity 99.99%OFC conductors wires highly shielded excellent rejection of RF/EMI noise  Sleeve with protection jacket  Shielded USB connectors  Version 2.0 Triple electro magnetic scree
jamz.ajee,HD Dual Lens Car Camera,S$40,New,2,BNIB 1080P Dual Lens Car Camera
fatzywee,Dual Monitor Vesa Stand,S$60,Used,2,Dual Monitor Vesa Stand Compatible with 17 to 27 inches monitor with M3 bolts and washers Good condition  Can Trade with GPU
budgethome,Gerberit Toilet bowl Magnum brand,S$278.88,Free delivery!Geberit System Included! If need Installation! Pm for special Price! Ready stock Updated on 10/05/2020 CBP. Strong flushing ! Rimless flush! High quailty. No hidden cost  NO GST. Pan collar included. Soft closing slim urea seat .More durable 💪 10 years flushing warranty! PUB APPROVED. ,128,Spotlight
harvestlee,Universal Battery Voltage Tester,S$5,New,12,Free Normal Mail   Easy-to-read colour-coded scales indicate the power level Can quickly test the capacity of your battery Compact size and lightweight Test multiple sizes of batteries in one unit The perfect companion for travel One movable arm to accommodate the battery Two buttons on the side for
electronicgarageyard,Samsung LCD TV Set (26 inch),S$70,Model: Samsung LA26B350F1  This set is in great condition - the screen is 26 x 17 inch; comes with remote controller.  We’ve bubble wrapped the set & will delivery to your residential premises for $10., ,New Carouseller
zhumeng0331,Huawei Freebuds 3,S$170,New,3,Audio
digi-otaku,Coiled type C to Usb cable,S$45,New,10,Type C for 1 side Usb type A for 1side 1meter long  Item is brand new
nicholas.tee,Fiio K5 pro dac amp desktop audio amplifier,S$220,Used,19,Selling an almost brand new Fiio K5 pro dac amp. Bought 2 months ago to complement my other amps but barely used. In pristine working condition. The original packaging box has a slight dent at the corner.  Further information: https://www.fiio.com/k5pro
health4ever,Usana cellsentials,S$74,  Cellsentials $74 Proflavanol $58 Biomega $30 Magnecal d $29 Visionex $44 Gingko $55 Prenatal $80 Digestive 42 Palmatto plus $49 Probiotic $32 Procosa $52 Coquinone 30. $58 Coquinone 100. $64 Phytoestrin $38 Usanimals $25,54,Spotlight
